"ID","TOKEN","SUBMITDATE","STARTLANGUAGE","481147X1X1","481147X1X1OTHER","481147X1X2","481147X1X2OTHER","481147X1X7","481147X1X7OTHER","481147X1X3","481147X1X3COMMENT","481147X1X41","481147X1X42","481147X1X43","481147X1X44","481147X1X45","481147X1X46","481147X1X47","481147X1X48","481147X1X5","481147X1X6"
"538",,"01-01-1980 00:00:00","en","2",,"1",,,"no wifi for patients/visitors","1","it would allow me to access information at any time rather than try to gain access to a work computer","3","2","1","4","7","6","8","5","ub96jh","Patients would like access to wifi to pass time while in hospital, computers are available to staff but dependent on availability and not wifi"
"106",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","2","5","4","6","3","7","8","ls2","Wifi can only aid the Information Strategy,"
"108",,"01-01-1980 00:00:00","en","2",,,"I use Eduroam but think there is some trust wi-fi but not widely available and Eduroam not available to most trust staff","4",,"1","Would allow evidence based sources to be easily accessed","1","3","4","2",,,,,"s10 2th","Think it should be freely available for visitors, patients and staff"
"109",,"16-04-2013 15:29:00","en","2",,"2",,"4",,"2",,,,,,,,,,,
"110",,"01-01-1980 00:00:00","en","2",,"6",,,"As far as I am aware there is no wifi available for patients/visitors","1","I do not actually work on the clinical side (I work in the library) but from my own point of view, I often have to use our own wifi on my own netbook to access information that I need for my work (which is often providing information for clinical staff).  I am also aware that I have never spoken to a member of staff who is not frustrated by the NHS provided internet access.","1","2",,,,,,,"SA18","I do not work on the clinical side, but I feel very strongly that by not providing wifi access for staff and patients, the NHS is still languishing in the information dark-ages.  The lack of access to something (the internet) which has become such and all-pervading part of everyday life, can only be detrimental to healthcare."
"111",,"01-01-1980 00:00:00","en","2",,"3",,,"No Wi Fi for patients","1","It would provide access to online resources at bedside.","1","2","3","4","5","6","7","8","RH19 3DZ","It would be helpful if the library could loan laptops with access key to Wi Fi."
"112",,"01-01-1980 00:00:00","en","3",,"3",,"1",,"1","I'm not actually a clinician, but this is what I think they would say.","1","2","3",,,,,,"ig3 8xj","Our Trust has many sites spread over four London Boroughs and South West Essex. There is wifi in the Library (where I work) and in Head Office (next door) and at a couple of other sites. But coverage is certainly not comprehensive."
"113",,"01-01-1980 00:00:00","en","2",,"2",,"4",,"1",,,,,,,,,,,
"114",,"01-01-1980 00:00:00","en","2",,"3",,"1",,"1",,"1","3","2","4",,,,,"CV10 7DJ","Staff network is good. Guest user network is sometimes unreliable."
"115",,"01-01-1980 00:00:00","en","2",,"3",,,"only for staff","1",,"1","4",,,,,,,"gl13nn","Wifi access in our hospital is only in the education centres and not in clinical areas"
"117",,"01-01-1980 00:00:00","en","2",,,"My organisation has a free WiFi network in certain areas and you need a username and password for the Trust network to use it. Some of our students have Trust passwords but not all.",,"The Trust is still deciding what to do about WiFi for patients and visitors. A charge is anticipated.","1","It would mean we could demonstrate ebooks, Pubmed information on ward rounds, BNF and much, much more. Clinicians would get the information they need at the time they need it.",,,,,,,,,"BS23 4TQ","In this age of SmartPhones, WiFi is really essential to both staff and patients. It would enhance care and the quality of teaching that clinicians could provide to students, junior doctors, and patients - just imagine being able to pull up a YouTube video, for instance, of clinical examinations to demonstrate to students just before they complete their OSCEs, long cases, or other tests and exams. Imagine patients being able to access patient stories online from others in the same situation as themselves. And imagine patients being able to cheerfully download books and magazines on their Kindles to while away the hours between tests, drug rounds and meals."
"118",,"01-01-1980 00:00:00","en","2",,"2",,"4",,"1",,,,,,,,,,"BD9 6DP","It is frustrating that although 'agile working' is the Trust's agenda, staff are unable to access the Wi-Fi. This is made worse by the ban on memory sticks so that staff without Trust email access are unable to transfer their work to their own machines. Free web email services are blocked."
"119",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,,,,,,,,,,
"120",,"01-01-1980 00:00:00","en","2",,,"There is access to a university WiFi system in the Learning Centre, and commercial WiFi in the Conference Centre, but as far as a I know there is no WiFi elsewhere","4",,"1","I'm not a clinician, but as a librarian I can say that WiFi access would enable clinicians to access some of the clinical decision making tools like UpToDate that we offer.","1","2","3",,,,,,"SY3 8XQ","We have pressed for NHS WiFi in our building, and the infrastructure is partly installed but was never enabled. This doesn't seem to be a priority at all here."
"121",,"01-01-1980 00:00:00","en","2",,,"Library has provided free wifi in the library","3",,"1",,,,,,,,,,,
"122",,"01-01-1980 00:00:00","en","2",,"2",,,"WiFi is only for staff, not patients/visitors","1",,"1","3","5","8","6","7","4","2","b91",
"124",,"01-01-1980 00:00:00","en","2",,"2",,"4",,"1","I don't care directly for patients - but it would help me provide support to those who do.","1","2","4","3",,,,,"CM20 1QX",
"126",,"01-01-1980 00:00:00","en","2",,"2",,,"There is only wifi for Trust staff with access to the wifi network. Not all staff have access. I do not.","2","I am a librarian.  It is not applicable.",,,,,,,,,"ts43af","Wifi access would be very useful for professional visitors eg solicitors attending trbunals and staff from other Trusts.  Also useful for placement students and locum workers.  Useful for new starters without access to the Trust intra net until after they have done Info Governance and been allowed a login.  Generally useful amenity at lunch break and would free up band width which generally  is greatly reduced between 12;00 and 14:00.  Wifi access for patients may need to be firewalled as we are a mental health trust but would be useful for their mood and in order to research their condition.  With so  many mobile devices working on wifi these days it is a good way to segregate personal and Trust usage maintaining the hygene of the Trust patient systems."
"128",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","3","4","2",,,,,,
"129",,"01-01-1980 00:00:00","en","2",,,"Network has been implemented, but is not available",,"No access for patients or visitors","4",,"5","8","2","1","3","7","4","6","LS7 4SA",
"132",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1","It would allow me instant access to policies and procedural documentation whilst also allowing me to look up reference or teaching material","1","3","2","5","6","7","8","4","CB2",
"133",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","2","4","3","8","7","6","5","S10 2TH",
"134",,"01-01-1980 00:00:00","en","3",,"1",,"4",,"1",,,,,,,,,,,
"135",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1","it would enable me to look up guidelines and provide evidence based care. The internet on the desktop computers blocks almost all sites making this impossible unless logged in to individual account but logging in and out on a regular basis isn't feasible when very busy.","1","2","5","6","7","8","3","4","UB1 3HW","It should be available for both staff and patients."
"532",,"16-04-2013 15:48:00","en","2",,"2",,,,,,,,,,,,,,,
"137",,"01-01-1980 00:00:00","en","3",,"3",,"4",,"1",,,,,,,,,,,
"138",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"3","4","1","2","6","7","5","8","Cr7 7ye",
"140",,"01-01-1980 00:00:00","en","2",,"1",,"3",,"1",,"1","6","7","4","5","2","8","3","Croydon",
"141",,"01-01-1980 00:00:00","en","3",,"6",,"2",,"1",,"1","3","4","2","5","8","6","7","KT22 7AD",
"142",,"16-04-2013 15:30:00","en","2",,"3",,"3",,"1",,,,,,,,,,,
"144",,"01-01-1980 00:00:00","en","2",,"3",,"3",,"1","Crucial for rapid access to up to date guidelines, decision support and formularies","1","5","7","6","8","3","4","2","BN2 5BE","Patients should definitely have wifi access as they may have long waits or be stuck in bed.  Staff need wifi for clinical uses.  An electronic patient record would obviously be great."
"145",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"5","7","6","1","2","3","8","4","CF728XR","WiFi apparently to be installed. Would enable / facilitate electronic patient record and potentially improve ward rounds, help with anti microbial stewardship and would be well received by patients."
"146",,"01-01-1980 00:00:00","en","2",,,"ED using iPads and going paperless. iPad linked to hospital wireless which I can use on my personal trust iPad. Can use some apps (twitter) but not access twitter web page for example. Dn","4",,"1",,"5","7","1","2","6","3","4","8","Sk27JE",
"147",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","1",,"1","6","7","5","8","2","4","3","Bl9 7td",
"148",,"01-01-1980 00:00:00","en","2",,"1",,,"No provision","1",,,,,,,,,,"Cv346sr",
"149",,"01-01-1980 00:00:00","en","2",,"4",,"3",,"2",,"2","1","7",,,,,,"LE1 5WW","There is Wifi but ONLY in the library. WIFISpark is available at a cost (but I thnk is aimed mostly at patients)"
"150",,"01-01-1980 00:00:00","en","1",,"1",,,"no wifi","1","Quicker access to reference material",,,,,,,,,"hp123af","Am doing this on my phone and Q5 doesn't work"
"151",,"16-04-2013 15:31:00","en","2",,"3",,"4",,"1",,,,,,,,,,,
"152",,"01-01-1980 00:00:00","en","2",,"1",,"3",,"1",,"5","6","2","3","1","8","4","7",,
"153",,"01-01-1980 00:00:00","en","2",,"3",,,"No WiFi for patients and visitors","1",,"5","7","6","8","2","3","1","4","NP7 7EG","Our wifi for staff is only permitted from 'approved' devices with Trust software installed"
"154",,"01-01-1980 00:00:00","en","2",,"3",,"4",,"1","I can open the electronic patient record from my laptop, compose emails etc. without having to return to my office.",,,,,,,,,"HA1 3UJ","Is this really a priority? I would consider the development of clinician-responsive open electronic record systems more important. I would also expect employers to provide appropriate IT hardware/software rather than simply provide a wireless access point and expect employees to bring their own devices."
"155",,"16-04-2013 15:31:00","en","2",,"2",,,"No WiFi for patients and visitors","4",,,,,,,,,,,
"156",,"01-01-1980 00:00:00","en","2",,"2",,,"none","1",,"2","1",,,,,,,"pr",
"157",,"01-01-1980 00:00:00","en","2",,"5",,,"None provided","1",,"1","2","7","8","6","5","4","3","SA6 6NL",
"158",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi at all","1","I use the Internet a lot at work,but it is painfully slow.wifi would clearly be faster","5","2","1","7","6","3","4","8","Darlington",
"159",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"5","7","1","6","2","8","3","4","IG3 8YB",
"160",,"01-01-1980 00:00:00","en","2",,"4",,"3",,"1",,,,,,,,,,"NG7 2UH","The chargeable access is described as good value. I do not agree."
"161",,"01-01-1980 00:00:00","en","2",,"1",,"3",,"1",,"6","3","8","5","4","7","1","2",,
"162",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","4",,,,,,,,,,"Ts43bw",
"163",,"16-04-2013 15:33:00","en","2",,"1",,"4",,"1","I use 3G but it is very patchy. I would love to have better access to data, apps and guidelines at POC. I use UptoDate in addition to many high quality apps. This makes the care of my patients better, more evidence based. I improve my practice by learning more every day using easily accessible information. Except it's not easily accessible as there is no wifi and it takes too long to login to NHS computers or there aren't enough of them when they are shared between doctors, nurses, physios, pharmacists, OTs......",,,,,,,,,,
"164",,"01-01-1980 00:00:00","en","2",,"3",,"1",,"1",,,,,,,,,,"CH49 5PE","My Trust provides free, no registration required, WiFi access to anybody with a WiFi gadget, but it's intended to access the Internet rather than internal resources. I suppose that restricting acess to the clinical networks is justified on data security grounds, but access to the clinical networks doesn't seem to be encouraged in ayway.I am aware that the new hospital system (Cerner Millenium) can be accessed from Android tablets and iOS devices, but this hasn't been promoted in way. I need some time to experiment and see if I can access the system from the information I currently have, but I suspect that I will need to need to know server names and settings."
"166",,"01-01-1980 00:00:00","en","2",,"2",,,"No WiFi","2",,"1","7","2","3","4","6","5","8","TS4 3BW",
"167",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","1",,"6","7","5","8","2","1","4","3","Bs161le",
"168",,"01-01-1980 00:00:00","en","2",,"2",,,"None","1",,"1","2","4","3","5","7","6","8","L12 2ap",
"169",,"01-01-1980 00:00:00","en","2",,"2",,"4",,"1",,"1","4","2","3","5","7","6","8","l355dr",
"170",,"16-04-2013 15:32:00","en","1",,"6",,,"no access for pts or visitors","2",,,,,,,,,,,
"171",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","2","3","7","4","5","6","8","HP21 8AL",
"172",,"01-01-1980 00:00:00","en","2",,,"Limited to certain buildings - I have no password.",,"None","1",,,,,,,,,,"N19 5NX",
"173",,"01-01-1980 00:00:00","en","1",,"1",,,"there is no wifi","1",,,,,,,,,,"MK17",
"175",,"01-01-1980 00:00:00","en","1",,"1",,,"no access for patients/staff/visitors","1",,,,,,,,,,"sa313ax",
"176",,"01-01-1980 00:00:00","en","2",,"1",,,"Not available","1",,,,,,,,,,"PA30 8LB",
"177",,"16-04-2013 15:32:00","en","3",,"2",,,"No free wifi for visitors to our office","1",,,,,,,,,,,
"178",,"01-01-1980 00:00:00","en",,"public health",,"wifi for work work equipment but not for personal equipment",,"no wifi for visitors","1","I currently utilise my own phone/tablet to access information in order to provide better services","1","2",,,,,,,"pe21","Our official issued equipment cannot access any unofficial wifi. Which slows us down.our roles are becoming more and more agile and we are required to access info on the move. Equitable Issuing of appropriate equipment is also an issue locally.  I utilise my own I T equipment as it is far superior and quicker and easier to use. This is a great shame as employers should trust us with peoples lives so they should trust us with technology."
"179",,"01-01-1980 00:00:00","en",,"Nhs England","3",,,"No pts attend site","1",,,,,,,,,,,
"180",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","1",,"1","2","3",,,,,,"Ls9 7tf","I hope it becomes available but I think it's unlikely due to fear of abuse I.e. increased use of mobile phones or concern over inappropriate use by staff. Not helped by negativity of social media and strict monitoring of Internet use (my place of work I am discussing)"
"182",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1","I use my smartphone on 3G to access apps, guidelines and other knowledge sources. This makes my practice more evidence based and higher quality at the point of care. I can also continuously learn and develop my professional knowledge. It is not convenient to use static NHS computers as it takes too long to login and they have to be shared with other doctors/nurses/physios/OTs/pharmacists. My 3G signal is patchy and unreliable within the hospital. Wifi would have a very real, positive effect on my ability to provide high quality care in the NHS","1","2","7","6","5","8","3","4","NW1 2BU","Wifi access should be free for all staff and patients. Excuses over concerns about patient-identifiable data are no longer good enough. We are missing out on major learning and quality improvement opportunities. Staff deserve better. Patients deserve better."
"183",,"01-01-1980 00:00:00","en","2",,,"We have a wifi network for use with Trust Tablets but not with personal devices",,"Wifi for private patient wards but not for NHS","1",,"5","7","6","3","8","4","1","2","NW3 2QG","Just like 3G and wifi revolutionised we use data in our personal lives, wifi in hospitals will completely change the way we work in ways that we cannot even start to imagine. IMHO it is less about wifi than the ability to  be wireless and to have information and work on it with geographical restriction. Allows me to spend more time with my patients, work on their information with them, help them understand their results, improve team working. The ability to order tests as you think about it, streamlines work for the services in the rest of the hospital so that they can better design their services."
"185",,"01-01-1980 00:00:00","en","2",,"2",,"2",,"2",,,,,,,,,,"FK5 4WR",
"186",,"01-01-1980 00:00:00","en","2",,"2",,"2",,"1",,,,,,,,,,"G75",
"187",,"01-01-1980 00:00:00","en","3",,,"WiFi in management offices only",,"No access","1",,"8","5","7","1","2","3","4","6","LD3 0LS",
"188",,"01-01-1980 00:00:00","en","2",,"2",,,"None","1",,"1","7","6","5","3","2","4","8","Sp2","It's awful"
"190",,"01-01-1980 00:00:00","en","2",,"2",,"2",,"4",,"1","2","5","4","3",,,,"HR1 2ER","I feel in this day and age, patients should have easy access to free WiFi as it is a great means of communication, keeping them in touch with their support network thus assisting in the healing process.  For staff I would be slightly concerned about distractions from accessing social media however, there are opportunities for using it for very positive reasons so staff should be able to access it too."
"191",,"01-01-1980 00:00:00","en","1",,"1",,"4",,"2","Electronic records replacing paper rolling out across site over this year. Upgrade of IT systems likely needed.","5","2","4","1","3",,,,"PA15 4LY",
"192",,"01-01-1980 00:00:00","en","2",,,"Don't know","4",,"2",,,,,,,,,,"NE1 4LP","I think important that NHS remains current in IT, but I'm not clear on what wifi gives as positive. I do think there will be positives but my understanding of it is limited."
"193",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1","It would also improve my education, by being able to look things up and record notes.  This would indirectly improve patient care.",,,,,,,,,"Np20","Sorry, question 5 wouldn't work on my iPad."
"194",,"01-01-1980 00:00:00","en","2",,,"We have WiFi and my work laptop is set up for it, but we are not given key, therefore can't use on iPhone etc",,"None","1","It would improve ability to use smartphone to access guidelines etc when computer not immediately available eg in receiving where computers are always in use. Would speed up decision making on occasion.","7","1","6","8","5","3","4","2","Ml6 0js","Ours is actually pretty good for permanent members of staff, would be so much more convenient to be able to use on smartphone as well though. No access for patients though which is pretty rubbish or for juniors rotating through who don't have their own work computer."
"195",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"2","1","3","6","7","4","5","8","WC1 2BU","It is unbelievable that in 2013 NHS  hospitals do not have access to Wifi for staff, particularly as the internet is such a huge resource.The same applies for patients, surely patients should be able to access a cheap or free Wifi whilst they sit in hospital consistent with the rest of society!!"
"196",,"01-01-1980 00:00:00","en","2",,,"WiFi is being installed",,"None just yet","1",,"3","2","1","8","4","5","7","6","LS9",
"197",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1","Able to access research and share at the bedside on hand held device.","7","1","5","8","2","4","6","3",,"Would support patients and enable them to keep in touch with family and friends. Support contemporary research at the bedside. Health apps can be accessed on. Supports agile working."
"198",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","5","7","6","8","3","4","2","Wc1n3bg",
"199",,"01-01-1980 00:00:00","en","2",,"3",,"4",,"1",,,,,,,,,,,
"200",,"16-04-2013 15:35:00","en","1",,"3",,,,,,,,,,,,,,,
"201",,"01-01-1980 00:00:00","en","2",,,"there is for the university but not for clinical staff",,"no wifi","1","easier access to online resources, from my own device that I can use in theatre.",,,,,,,,,"dd2 9sy","I am an anaesthetist. We have limited access to computers in theatre and have to leave the patient to use the computer. It takes time to log in and out of and if I have to return to the patient in a hurry it is not always possible to log out. I have no way of accessing the internet and being beside my patient. This is necessary for accessing patient details, and also useful for accessing on-line learning resources. Apparently there is university internet but we are not able to use it. Much of the theatre areas are a black-spot for mobile phone, so even accessing a quick guideline is not possible."
"202",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"8","6","7","5","2","3","1","4","Se184qh",
"203",,"01-01-1980 00:00:00","en","2",,,"Wifi within intranet accessible from health board provided equipment only - not own kit.",,"None","1","Rapid access to online resources using wifi in the workplace would be extremely helpful.  The 3G signal inside the buildings is insufficient to maintain a connection (it's great outside!) and the hospital has wifi infrastructure installed so it wouldn't be difficult to do.",,,,,,,,,"CF31 1RQ","Internet access is an essential part of daily life for many people.  It should be available - even if only for a small charge - within hospital buildings."
"204",,"01-01-1980 00:00:00","en","2",,"4",,"3",,"1",,"1","3","5","2","7","6","4","8",,
"205",,"01-01-1980 00:00:00","en","2",,"1",,,"none","1",,"2","7","5","1",,,,,"TS4 3BW","Its shit"
"206",,"16-04-2013 15:35:00","en","3",,"3",,,"No patients at my site","2","I don’t see patients",,,,,,,,,,
"207",,"01-01-1980 00:00:00","en","2",,"3",,"1",,"1","I am lucky to have free access to fast wifi provided free to all staff at my Trust. It is rated Number 3 in the worlds top centres of excellence and the wifi is a major contributor to that - we all use it for patient databases, checking eBNF, journals, NICE, specilist guidance etc etc etc It is invaluable and a major contribution to outstanding care.","1","4","2","5","3","7","6","8","HA7 4LP","It is secure and run well by our superb in house IT team. All our iPhones and laptops were connected by IT at Induction day. They are the best IT Department I have ever come across and as a result of that, we have some incredibly well set up and supported electronic systems for tests, scans, results, admitting, letters etc - utterly incredible facilities"
"208",,"01-01-1980 00:00:00","en",,"hospice","3",,"2",,"4",,,,,,,,,,"PO33",
"209",,"01-01-1980 00:00:00","en","1",,"1",,,"no wifi","4",,"1","2","4","3",,,,,,
"210",,"01-01-1980 00:00:00","en","2",,"1",,"1",,"1",,,,,,,,,,"CB2 0QQ",
"212",,"16-04-2013 15:36:00","en","2",,"1",,,"None",,,,,,,,,,,,
"213",,"01-01-1980 00:00:00","en","2",,"5",,"3",,"1",,"7","6","5","1","4","3","2","8","se5 9rs",
"214",,"01-01-1980 00:00:00","en","2",,"4",,"4",,"1","would allow cows system","6","7","1","5","3","8","4","2","wd18",
"215",,"01-01-1980 00:00:00","en","2",,"5",,,"None available","1",,"4","2","1","5","3",,,,"Se9",
"216",,"01-01-1980 00:00:00","en","2",,"3",,,"Bt open zone occ","1",,,,,,,,,,"Ox3 0du",
"217",,"16-04-2013 15:39:00","en","2",,"3",,,"No wifi for pts/visitors","1",,,,,,,,,,,
"218",,"01-01-1980 00:00:00","en","2",,"3",,"3",,"4",,,,,,,,,,"E13 6SL",
"219",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"1","2","4",,,,,,"Ls9","I think it would be extremely useful and appears quite backward that we don't have this."
"220",,"01-01-1980 00:00:00","en","2",,"2",,,"none","1",,"6","8","7","2","5","1","3","4","L12 2AP","abysmal"
"221",,"16-04-2013 15:39:00","en","1",,"1",,,"None availabke","1",,,,,,,,,,,
"222",,"01-01-1980 00:00:00","en","2",,"2",,,"Not available for patients, I think","2",,"1","2","4","3","6","5","7","8","SE1 7EH",
"223",,"01-01-1980 00:00:00","en","2",,"1",,"3",,"1",,,,,,,,,,"Le39qp",
"224",,"01-01-1980 00:00:00","en","2",,"3",,"2",,"1",,"3","4","2","1","5","6","8","7","Nr7",
"225",,"01-01-1980 00:00:00","en","2",,"3",,,"no wifi for patients","1",,"7",,,,,,,,"ss16",
"226",,"01-01-1980 00:00:00","en","2",,"4",,"3",,"1",,"1","2","7","5","6","8","4","3","NE7 7DV","Access to the Trust network is not an issue as WiFi can be used to link to this. However, the Trust's network does not allow access to social media, and access to knowledge resources can be really difficult. I find SoMe incredibly useful in keeping up with my field of interest and in keeping in contact with my colleagues."
"227",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","1",,"1","2","7","6","3","4","5","8","Ts34bw",
"228",,"01-01-1980 00:00:00","en","2",,"2",,,"None (wifi for certain medical tasks only)","4",,"3","4","2","1","7","5","6","8","Ca2 7hy",
"229",,"01-01-1980 00:00:00","en","2",,"1",,,"no wifi","4",,"6","8","7","3","1",,,,"WC1X 8DA",
"230",,"01-01-1980 00:00:00","en","2",,"2",,"4",,"1",,,,,,,,,,"Cb20qq",
"231",,"01-01-1980 00:00:00","en","2",,,"Free access wifi on 2 new wards and the main reception area. Due for hospital wide coverage soon as a high priority",,"Currently limited to 2 wards and reception are","1",,"2","1","3","7","6","5","8","4",,
"232",,"01-01-1980 00:00:00","en","3",,"2",,"3",,"1",,"5","7","4","1","3","2",,,"FK5 4WR","I do clinics in the community where we have no computer access at all, let alone WiFi."
"233",,"16-04-2013 15:40:00","en","2",,"1",,"4",,"4",,,,,,,,,,,
"234",,"01-01-1980 00:00:00","en","2",,"2",,,"Not available for non-nhs devices","1",,"1","7","6","5","4","2","3","8","E9",
"236",,"01-01-1980 00:00:00","en","2",,"1",,,"There is no WiFi","1",,"3","2","1","7","5","6","4","8","SS0 0RY",
"237",,"01-01-1980 00:00:00","en","2",,"4",,,"Free wifi for children in patients via wifi spark, paid by dept. Rest have to pay","2","Have reasonable 3G. However work in lot of other hosps where even mobile phone signal is v poor",,,,,,,,,"Se5 9rs","Hosp want us to have paperless records but inadequate computer access. Do have comps on wheels with wifi access but need laptops for staff. Out our outreach clinics few have any wifi that we could login to with the laptops to continue the paperless records work"
"239",,"01-01-1980 00:00:00","en","2",,,"Some WIFI - limited accessibility","4",,"2",,,,,,,,,,,
"240",,"01-01-1980 00:00:00","en","2",,"2",,,"only on the private patients ward","1","Really online is the main way of working","1","7","6","3","4","5","8","2","NW3","I suppose the problem is securing user's devices for use on the intranet which is the current access framework with WiFi - they need to separate this and allow intERnet access and.hopefully other  changes and access to clinical systems will follow"
"241",,"01-01-1980 00:00:00","en","2",,"3",,"1",,"1","I have it already and it is very useful",,,,,,,,,"Tq27aa",
"242",,"16-04-2013 15:40:00","en","2",,,"A trust wi fi which I do not have pass key and policy prevents its use on personal devices",,"No access","1","It would also cost less as at present I am using my own 3G",,,,,,,,,,
"243",,"16-04-2013 15:40:00","en","2",,"6",,,"no WiFi for patients/visitors","4",,,,,,,,,,,
"246",,"01-01-1980 00:00:00","en","2",,"2",,,"no wifi for them","1","Would significantly improve access to smartphone apps and online evidence sites like up to date. Only one Ward computer has Internet access and always used by someone who is nonclinical .",,,,,,,,,"dn2","Should be available for all staff given lack of Internet enabled desktops. Unlikely to be abused as no-one has the time!  Would make life much easier and improve morale by enabling easier communication between Junior doctors."
