"Response_ID","Date_submitted","Last_page","Start_language","Date_started","Date_last_action","IP_address","Referrer_URL","Which_part_of_the_NHS_do_you_mainly_work_in?","Which_part_of_the_NHS_do_you_mainly_work_in?_[Other]","What_is_your_main_job/role_within_the_NHS?","What_is_your_main_job/role_within_the_NHS?_[Other]","Can_you_access_WiFi_in_your_place_of_NHS_work?","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_my_own_device_(BYOD)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_a_work-provided_device]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_requires_login_on_a_web_page_after_device_connects_to_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_have_access_to_EduRoam,_the_academic_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_is_provided_by_a_commercial_service_(WiFispark,_BT_OpenZone,_The_Cloud_etc)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_is_free]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_works_in_most_areas_of_my_workplace_that_I_need_it_to.]","Please_provide_some_further_information:_[WiFi_access_is_only_for_work_devices_and_I_haven't_been_provided_with_one]","Please_provide_some_further_information:_[WiFi_isn't_required_-_internet_and_clinical_record_access_via_Desktop_PCs_is_sufficient]","Please_provide_some_further_information:_[There_are_no_WiFi_networks_at_all]","Please_provide_some_further_information:_[There_is_a_good_mobile_data_signal_(ie_3G,_4G)_in_my_place_of_work]","Please_provide_some_further_information:_[Other]","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?_-_comment","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Medical_knowledge_resources]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Personal_email]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Trust_Intranet_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Work_email/NHSMail]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Mobile_electronic_medical_record_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Order_tests_for_patients]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Getting_results_of_patients'_tests]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Patients'_demographic_details_&_location_tracking]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Social_Media/Social_Networking]","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:_[Other]","OPTIONAL:_What_is_the_postcode_of_the_NHS_organisation_at_which_you_do_most_of_your_work?","OPTIONAL:_do_you_have_any_comments_on_WiFi_access_for_staff_or_patients_in_the_NHS?","Total_time","Group_time:_WiFi_in_your_Workplace","Question_time:_NHSSECTOR","Question_time:_JOBROLE","Question_time:_YESNOWIFI","Question_time:_YESWIFI","Question_time:_NOWIFI","Question_time:_CAREQUALITY","Question_time:_DOWITHWIFI","Question_time:_Q0009","Question_time:_POSTCODE","Question_time:_COMMENTS"
"1237","2014-09-24 22:30:20","1","en","2014-09-24 22:25:31","2014-09-24 22:30:20","82.31.234.110","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","Yes","","Access to WiFi  would improve the care I provide","Especially when there is no cellular data. Checking nice guidelines. Up to date. Etc. ","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","Gu27xx","","289.15","","","","","","","","","","",""
"998","2014-09-19 16:11:56","1","en","2014-09-19 16:08:42","2014-09-19 16:11:56","109.155.94.148","http://t.co/fJWFfM2Z7Y","Community Services","","Nurse","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","WA3 3EG","","194.18","","","","","","","","","","",""
"1238","2014-09-24 22:34:06","1","en","2014-09-24 22:28:22","2014-09-24 22:34:06","62.255.241.85","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","Records","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","Available to patients but not to staff","Access to WiFi would have no effect","I am not patient-facing","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","","I don't need to do this","I don't need to do this","I don't know","","RG1 5AN","","343.15","","","","","","","","","","",""
"1239","2014-09-24 23:31:52","1","en","2014-09-24 23:28:47","2014-09-24 23:31:52","78.144.134.211","http://bawmedical.co.uk/lime/index.php/696915","Mental Health","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","Yes","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't know","","PR6","","183.19","","","","","","","","","","",""
"991","2014-09-19 15:47:22","1","en","2014-09-19 15:45:35","2014-09-19 15:47:22","194.176.105.150","http://moss/Pages/Default.aspx","Other","Admin","Administrative Staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi would have no effect","","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","WiFi for patients and visitors is free without registration","","SL2 4HL","","107.4","","","","","","","","","","",""
"1240","2014-09-25 00:30:20","1","en","2014-09-25 00:27:44","2014-09-25 00:30:20","194.176.105.132","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","Latest e-textbooks, journals and drug encyclopaedias - Trust computers are in use or too slow","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","pr7","","156.34","","","","","","","","","","",""
"1242","2014-09-25 04:10:59","1","en","2014-09-25 04:07:00","2014-09-25 04:10:59","86.186.9.134","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Able to source drug info, check anatomy,teaching excellent","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I can do this already","I don't know","","RG26","","237.45","","","","","","","","","","",""
"1526","2014-10-24 08:43:14","1","en","2014-10-24 08:41:05","2014-10-24 08:43:14","213.120.214.22","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","SW15 5PN","","128.79","","","","","","","","","","",""
"1244","2014-09-25 05:57:39","1","en","2014-09-25 05:53:53","2014-09-25 05:57:39","86.186.62.146","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","Yes","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't know","","LE15WW","WiFi should be free to all","226.4","","","","","","","","","","",""
"1245","2014-09-25 06:38:52","1","en","2014-09-25 06:30:43","2014-09-25 06:38:52","86.164.249.10","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Manager/Executive","","Yes","No","Yes","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","Gu2 7xx","","486.04","","","","","","","","","","",""
"980","2014-09-19 15:44:53","1","en","2014-09-19 15:36:30","2014-09-19 15:44:53","194.176.105.138","","Mental Health","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","wifi access is only for work devices but i have been provided with one","Access to WiFi  would improve the care I provide","Access to wifi would improve how everyone works, as long as you have the technology to go with it.","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","No WiFi for patients or visitors","","NE33XT","","502.2","","","","","","","","","","",""
"1246","2014-09-25 06:43:54","1","en","2014-09-25 06:40:09","2014-09-25 06:43:54","155.143.9.97","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","Education/training can be better done on the go with mobile devices (not necessarily big computers on trollies). Personal devices are often much quicker than out of date hardware/software on hospital computers, eg. for accessing educational/research media.","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","","","225.27","","","","","","","","","","",""
"56","2014-09-18 13:32:31","1","en","2014-09-18 13:28:50","2014-09-18 13:32:31","94.174.55.229","http://t.co/QFvAGBiINi","Other","Trust","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","Yes","","Access to WiFi  would improve the care I provide","","","","I want to be able to do this","","","","","","","Other","There's no WiFi","","","221.8","","","","","","","","","","",""
"1209","2014-09-24 17:35:37","1","en","2014-09-24 17:34:07","2014-09-24 17:35:37","94.193.182.164","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I want to be able to do this","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is open but chargeable/non-free","","SE5 9RS","","90.04","","","","","","","","","","",""
"1055","2014-09-22 09:07:01","1","en","2014-09-22 09:04:34","2014-09-22 09:07:01","194.176.105.144","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","No","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","I don't know","","SL5 8AA","Although I do have access to WiFi at work, it is incredibly slow!","147.45","","","","","","","","","","",""
"62","2014-09-18 13:40:42","1","en","2014-09-18 13:31:29","2014-09-18 13:40:42","212.250.168.61","","Mental Health","","Doctor","","Yes","No","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","Other","Not available trialling this","LS12 3QE","","553.28","","","","","","","","","","",""
"1247","2014-09-25 06:46:39","1","en","2014-09-25 06:45:20","2014-09-25 06:46:39","178.78.72.72","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","HU3 2JZ","","78.61","","","","","","","","","","",""
"1525","2014-10-24 08:41:09","1","en","2014-10-24 08:37:51","2014-10-24 08:41:08","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Other","Technical","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","DT12JY","","191.98","","","","","","","","","","",""
"67","2014-09-18 13:42:35","1","en","2014-09-18 13:33:59","2014-09-18 13:42:34","194.176.105.150","","Secondary Care / Hospital","","Other","Clinical Scientist","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","Yes","No","No","WiFi access is available when required","I am not sure what effect access to WiFi would have","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free without registration","","CV22DX","","516","","","","","","","","","","",""
"966","2014-09-19 15:20:10","1","en","2014-09-19 15:16:56","2014-09-19 15:20:10","194.176.105.153","","Secondary Care / Hospital","","Nurse","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","not much wifi anywhere in trust","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","ne311at","","194.9","","","","","","","","","","",""
"1252","2014-09-25 07:59:04","1","en","2014-09-25 07:52:44","2014-09-25 07:59:04","109.155.205.75","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","Desktop computer availability being poor in some areas","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","","","380.76","","","","","","","","","","",""
"1523","2014-10-24 08:36:05","1","en","2014-10-24 08:10:51","2014-10-24 08:36:04","194.176.105.138","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Nurse","","Yes","No","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","WiFi for patients and visitors is open but chargeable/non-free","","NE7 7DN","Wifi is very expensive and very difficult to attain for patients.
Staff and patients should be able to access Wifi free anytime and anywhere within the NHS.
If the local traders and McDonalds can supply Wifi free why can't the NHS","1513.38","","","","","","","","","","",""
"78","2014-09-18 13:39:18","1","en","2014-09-18 13:37:24","2014-09-18 13:39:18","194.176.105.150","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","CM1 7ET","","113.71","","","","","","","","","","",""
"1254","2014-09-25 08:08:02","1","en","2014-09-25 08:06:29","2014-09-25 08:08:02","82.24.7.183","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","Wifi is available for patients at a cost.","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is open but chargeable/non-free","","","","93.74","","","","","","","","","","",""
"1255","2014-09-25 08:28:32","1","en","2014-09-25 08:23:18","2014-09-25 08:28:32","81.145.165.2","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","Almost no phone signal in any of our operating theatres, limited access to computers even for trust systems","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","BT9 7JB","It would improve effiency ","313.41","","","","","","","","","","",""
